,Title,Year,Actors
0,2019 Golden Globe Awards,2019,"Jessica Chastain, Kaley Cuoco, Claire Foy, Nicole Kidman, Alison Brie, Amy Adams, Jason Bateman, Olivia Colman, Hugh Grant, Timothée Chalamet, Rachel Brosnahan, Gary Oldman, Amber Heard, Emily Blunt, Emma Stone, Charlize Theron, Yvonne Strahovski, Christian Bale, Rosamund Pike, Harrison Ford, Jim Carrey, Emmy Rossum, Saoirse Ronan, Edgar Ramírez, Kieran Culkin, Sterling K. Brown, Denzel Washington, Johnny Galecki, Daniel Craig, Chadwick Boseman, Viggo Mortensen, Anne Hathaway, Chris Pine, Bradley Cooper, Nicholas Hoult, Kristen Bell, Adam Driver, Julia Roberts, John Krasinski, Steve Carell, Melissa McCarthy, Caitriona Balfe, Rachel Weisz, Keri Russell, Glenn Close, Thandie Newton, Patricia Arquette, Bill Murray, Elisabeth Moss, Sacha Baron Cohen, Idris Elba, Sam Rockwell, Jamie Lee Curtis, Allison Janney, Mahershala Ali, Lin-Manuel Miranda, Taron Egerton, Michael B. Jordan, Sam Elliott, Justin Hartley, Michael Douglas, Felicity Huffman, Maya Rudolph, Lucas Hedges, Richard Madden, Julianne Moore, Andy Samberg, Jeff Bridges, Daniel Brühl, Catherine Zeta-Jones, Rami Malek, Richard Gere, Ben Stiller, Halle Berry, Laura Dern, Donald Glover, Candice Bergen, Ben Whishaw, Willem Dafoe, Adam McKay, Penélope Cruz, Judith Light, Jim Parsons, Bill Hader, Regina King, Antonio Banderas, Robert Redford, Gina Rodriguez, William H. Macy, Lady Gaga, Mike Myers, Lucy Liu, Lupita Nyong'o, Connie Britton, Sandra Oh, Alan Arkin, Alex Borstein, Octavia Spencer, Lena Waithe, Dick Van Dyke, Beau Bridges, Spike Lee, Matthew Rhys, Richard E. Grant, Henry Winkler, John C. Reilly, Danai Gurira, Patricia Clarkson, Constance Wu, Cody Fern, Taraji P. Henson, Amy Poehler, Alfonso Cuarón, Chrissy Metz, Megan Mullally, Yorgos Lanthimos, Tyler Perry, Darren Criss, Debra Messing, Billy Porter, Ricky Martin, Carol Burnett, Pauletta Washington, Elsie Fisher, Peter Farrelly, Stephan James, Amy Sherman-Palladino, Keith Urban, Yalitza Aparicio, Nick Vallelonga, Marina de Tavira, Justin Hurwitz, Mark Ronson, Brian May, Despina Mirou, Roger Taylor, Brian Hayes Currie, Sarina Taylor, Kelleth Cuthbert, Jim Beach, Brianni Walker, Isan Elba, Tanisha Grant, Rebecca Riedy, Kenny Morse, Devon Levy"
1,Malcolm & Marie,2021,Zendaya
2,Monster,2018,"Jennifer Ehle, Kelvin Harrison Jr., Jeffrey Wright, Tim Blake Nelson, Mikey Madison, Jennifer Hudson, Dorian Missick, Jharrel Jerome, Paul Ben-Victor, Jonny Coyne, Lovie Simone, Alejandro Hernandez, ASAP Rocky, Adriana DeGirolami, Nas, Willie C. Carpenter, Teresa Avia Lim, John Cashin, June Ballinger, Liam Obergfoll, Danny Henriquez, Roberto Lopez, Akintola Jiboyewa, Kelvin Hale, Jeremy Dash, Rege Lewis, Nyleek Moore, Joel Van Liew, Amanda Crown, Mitch Roberson, Keet Davis, Milanee Gordon, Marc Blagowidow, Keven Andres Almanzar, Scott Micca, Kevin Alexis Rivera, Geisha Otero, Jackson Francis Greene, Rylee Gabrielle King, Vincent Veloso"
3,Monster,2018,"Anthony Ramos, Kelvin Harrison Jr., Chanté Adams, Jasmine Cephas Jones, Nicole Beharie, Rob Morgan, Cara Buono, Grant Jaeger, Josiah Gabriel, Emilia Allen, Brian Pollock, Joe Tippett, J.W. Cortes, Giuseppe Ardizzone, Steve Cirbus, Samel Edwards, Christopher Jordan Wallace, Joshua Rivera, Lana Young, Kareem Savinon, John Diaz Banks, Daniel Stewart Sherman, Keenan Jolliff, Frankie Wolf, Angel Bismark Curiel, Craig muMs Grant, Lizan Mitchell, Chris McKinney, Amanda Warren, Don Guillory, Cassandra Freeman, Jeff Kim, Elizabeth Lodge Stepp, Aaron Costa Ganis, Neal Huff, Jeffrey Lerman, David Walcott, Brooke Alexandra, Jabin Waterman, Gregory Barker, Irene Blackman, Michael Durodola, Kimberly L. Jackson, David Lamberton, Dion Quamina"
4,Love Beats Rhymes,2017,"Common, Lorraine Toussaint, Arjun Gupta, Method Man, Lucien Laviscount, Hana Mae Lee, Jill Scott, Daniella De Jesús, Jeremie Harris, Azealia Banks, Craig muMs Grant, Jin Au-Yeung, Jas Anderson, Mary Christina Brown, Caleb Eberhardt, Ryan Metcalf, Esperanza Spalding, Bryan Burton, Joshua Williams, Nikhil Melnechuk, Mary Millben, Will Cooper, Jaelin Taylor, Melissa Jackson, Lauren Michele, Darren Whitfield, Nancy Cejari, Tanzeel Kayani, Scott Martin, Rasheme Watson, Monna Sabouri, Ursula Rucker, Hsing Huang, Understanding Diggs, Raffaele Marchetta, Katherine Haber, Tim White, Jerome Brooks Jr., Miguelangelo Hexylvania"
5,BlacKkKlansman,2018,"Alec Baldwin, Isiah Whitlock Jr., Robert John Burke, Brian Tarantina, Arthur J. Nascarella, Ken Garito, Frederick Weller, Adam Driver, Michael Buscemi, Laura Harrier, Damaris Lewis, Ato Blankson-Wood, Corey Hawkins, Dared Wright, Faron Salisbury, Ryan Eggold, Jasper Pääkkönen, Paul Walter Hauser, Ashlie Atkinson, Topher Grace, Victor Colicchio, Paul Diomede, Elise Hudson, Danny Hoch, Nicholas Turturro, Ryan Preimesberger, Harry Belafonte, Gina Belafonte, Ernest Rayford, James Campbell, Jared Johnston, Michael J. Burg, Jeremy J. Nelson, Nichelle Bolden, Ciarah Amaani, Bob Angelini, Gary Ayash, Chris Banks, Daniel Alain Birch, Damien Bosco, Kacie Calhoun, Elaine Chao, Janelle Clayton, Curt Clendenin, Gshared Dixon, David Duke, Craig muMs Grant, Tessa John-Connor, Jarrod LaBine, Leer Leary, Timal McKen, La Aaron Mealy, John Mitchell, Steven Mnuchin, Leslie C. Nemet, Mark Perrone, Noah Segura, Tom Stratford, Donald Trump, McManus Woodend, Tejon Wright"
6,2016 Golden Globe Arrivals Special,2016,"Matt Lauer, Savannah Guthrie, Natalie Morales, Tamron Hall, Willie Geist, Will Smith, Jaimie Alexander, Taraji P. Henson, Sophia Bush, Helen Mirren, Eva Longoria, Alicia Vikander, Olivia Wilde, Jason Sudeikis, Brie Larson, Kirsten Dunst, Ricky Gervais, Gina Rodriguez, Viola Davis, America Ferrera, Amy Schumer, David Oyelowo, Julia Louis-Dreyfus, Harrison Ford, Felicity Huffman, Jennifer Lopez, Michael Fassbender, Eddie Redmayne, Chris Tucker, Jamie Foxx, Corinne Foxx, Matt Damon, Lady Gaga, Sylvester Stallone, Jane Fonda, Jennifer Lawrence, Maggie Gyllenhaal, Mark Ruffalo, Sunrise Coigney, Channing Tatum, Jenna Dewan, Leonardo DiCaprio, Amy Adams, Denzel Washington, Queen Latifah, Melissa McCarthy, Katy Perry, Rooney Mara, Steve Carell, Kate Hudson, Rob Lowe, Cate Blanchett, Nancy Carell, Ben Falcone, Jane Fallon, Jennifer Flavin, Garrett Hedlund, Taylor Kinney, Jada Pinkett Smith, David O. Russell, Trey Smith, Scarlet Rose Stallone, Sistine Rose Stallone, Sophia Rose Stallone, Katia Washington, Olivia Washington, Pauletta Washington"
7,BET Awards 2020,2020,"Queen Latifah, Jamie Foxx, Spike Lee, Tracee Ellis Ross, Lena Waithe, Laverne Cox, Billy Porter, Courtney B. Vance, Wayne Brady, Regina Hall, Jennifer Hudson, Beyoncé, Questlove, Marsai Martin, Shaquille O'Neal, John Legend, Alicia Keys, Usher, Naomi Campbell, Deon Cole, DJ Khaled, Amanda Seales, Anderson .Paak, MC Lyte, Megan Thee Stallion, Melissa L Williams, Michelle Obama, Lizzo, Nas, Lil' Wayne, Tariq Trotter, Kirk Franklin, Chloe x Halle, YG, Swizz Beatz, DaBaby, Kane Brown, Timbaland, Daniel Farris, Public Enemy, D-Nice, Donnie Simpson, Patrisse Cullors, Roddy Ricch, Kierra 'Kiki' Sheard, Summer Walker, Jonathan McReynolds, Karen Clark Sheard, Jay Rock, Burna Boy, Robert L. Johnson, Rapsody, Sir, Assa Traoré, Masego, Nicolas Johnson, Lonr., Jahi, Dylan Mattina, Nathanna"
8,The Game Awards 2020,2020,"Troy Baker, Lorne Balfe, Josef Fares, Reggie Fils-Aime, Gal Gadot, Sydnee Goodman, Tom Holland, Geoff Keighley, Brie Larson, Ralph Macchio, Christopher Nolan, Nolan North, Yuji Okumoto, Keanu Reeves, Stephen A. Smith, Eddie Vedder"
9,Devil in a Blue Dress,1995,"Denzel Washington, Tom Sizemore, Jennifer Beals, Don Cheadle, Maury Chaykin, Terry Kinney, Mel Winkler, Albert Hall, Lisa Nicole Carson, Jernard Burks, David Fonteno, John Roselius, Beau Starr, Steven Randazzo, Scott Lincoln, L. Scott Caldwell, Barry Shabaka Henley, Nick Corello, Kenny Endoso, Joseph Latimore, Renée Humphrey, R.J. Knoll, Kai Lennox, Poppy Montgomery, Brendan Kelly, Peggy Rea, Vinny Argiro, Deborah Lacey, Brazylia Kotere, Jeris Poindexter, Frank Davis, Matthew Barry, Mark Cotone, Brian E. O'Neal, G. Smokey Campbell, Alan Craig Schwartz, Steve Sekely, J.D. Smith, Nigel Gibbs, Carole Kravetz Aykanian, Jesse Beaton, Gary Frutkoff, Shann Johnson, Coffee Wright"
10,Born to Be Murdered,2021,"Alicia Vikander, Boyd Holbrook, Vicky Krieps, Daphne Alexander, Yorgos Pirpassopoulos, Panos Koronis, Lena Kitsopoulou, Isabella Margara, Olga Spyraki, Andreas Marianos, Dimitra Mesimerli, Leonardo Thimo, Abe Cohen, Myrsini Morelli, Maria Votti, Marc Marder"
11,Malcolm X,1992,"Denzel Washington, Angela Bassett, Albert Hall, Al Freeman Jr., Delroy Lindo, Spike Lee, Theresa Randle, Kate Vernon, Lonette McKee, Tommy Hollis, James McDaniel, Ernest Thomas, Jean-Claude La Marre, O.L. Duke, Larry McCoy, Maurice Sneed, Debi Mazar, Phyllis Yvonne Stickney, Scot Anthony Robinson, Sonny Jim Gaines, Joe Seneca, LaTanya Richardson Jackson, Wendell Pierce, Michael Guess, Leland Gantt, Giancarlo Esposito, Leonard L. Thomas, Roger Guenveur Smith, Craig Wasson, Graham Brown, Gerica Cox, Kristan Rai Segure, Lauren Padick, Danielle Fletcher, Frank Adu, Aleta Mitchell, Curt Williams, John Ottavino, John Reidy, Frances Foster, Reggie Montgomery, David Patrick Kelly, Gary L. Catus, Sharon Washington, Shirley Stoler, Oran 'Juice' Jones, Ricky Gordon, George Lee Miles, Raye Dowell, Veronica Webb, Abdul Salaam El Razzac, Keith Randolph Smith, George Guidall, James L. Swain, Peewee Love, Lawrence James, Steve White, K. Smith, Christopher Rubin, Matthew Harris, Zakee Howze, Cytia Fontenette, Marlaine Bass, Benjamin Atwell, Peter Dunn, Dion Smack Jr., Darnell Smith, TaiNesha Scott, Chelsea Counts, Chela Counts, Natalie Clanton, Jessica Givens, LaToyah Bigelow, Martaleah Jackson, Tamaraleah Jackson, Jasmine Smith, Valentino Smith, David Thomas Jr., Simon Do-Ley, Bill Goldberg, Jonathan Peck, Leonard Parker, Lennis Washington, Dyan Humes, Lizbeth MacKay, Terry Layman, Terry Sumter, Jasper McGruder, Mary Alice, Wyatt Tee Walker, Hazel Medina, Wendy E. Taylor, Ed Herlihy, Ralph Cooper Sr., Christian J. Dacosta, Karen Duffy, Walter Jones, Marc Phillips, Showman Uneke, Theara Ward, Larry M. Cherry, Clebert Ford, Grafton Trew, Rogers Simon, George T. Odom, Vincent Moscaritola, Larry Attile, Brendan Kelly, John Griesemer, Fia Porter, Billy J. Mitchell, Kent Jackman, Beatrice Winde, Fracaswell Hyman, Rion Johnson, Charles Weldon, Mike Hodge, Iris Little Thomas, Ilyasah Shabazz, Bahni Turpin, Aaron Blackshear, Nilyne Fields, Rudi Bascomb, Muhammad Parks, Chinere Parry, Ian Quiles, Sharmeek Martinez, Chuck Cooper, Damon Chandler, Shellye Broughton, Nicholas Barnwell, Sam Dixon, Barbara Smith, Rome Neal, Earl Whitted, Michael C. Mahon, Addison Cook, Byron Utley, George Rafferty, Maxwell Sinovoi, Eric Howell Sharp, Stewart J. Zully, Colleen Cowan, Armand Schultz, Reade Kelly, Janet Zarish, Annie Corley, Stephen James, Steven Randazzo, Chris Skutch, William Swinton, Marcus Naylor, Anthony Nocerino, Gareth Williams, Stephen Hanan, Richard Schiff, David Berman, Michael Imperioli, Steve Stapenhorst, Arthur French, Lex Monson, Judd Jones, C.E. Smith, Erika Smith-Brown, Raymond Anthony Thomas, Delilah Picart, Michael Ralph, Monique Cintron, Jake-Ann Jones, Sharon Ferguson, Amelia Mimi Walker, Neisha Folkes-LeMelle, Karen Michaels, Lenore Pemberton, Elise Neal, Felicia Wilson, Yvette Brooks, Teresa Yvon Farley, Kiki Della Vecchia, John Sayles, Martin Donovan, Jay Charbonneau, Joe Pentangelo, Mike Farley, Nick Muglia, David Reilly, Nicholas Turturro, James Murtaugh, William Fichtner, Tim Kelleher, Michael Cullen, James MacDonald, Steve Aronson, Bill Anagnos, Don Hewitt, Jery Hewitt, Joe Fitos, Manny Siverio, John Patrick McLaughlin, Shaun O'Neil, Andy Duppin, Elmer Licciardello, Matthew Underwood, Renton Kirk, Tim Hutchinson, Andre Blair, Abdul Hakeem Hijrah, Rony Clanton, Scott Whitehurst, Eric Payne, Ali A. Wahhab, Terry Hodges, Kevan Gibbs, Dana Hubbard, David Reivers, Robert Jason, Kevin Rock, Mansoor Najee-ullah, Dion Graham, Zaahir Muhammad, Gregory Bargeman, Lee Summers, Rich Gordon, Larry Rushing, Monty Ross, Eddie Davis, Reggie Pittman, Patrick Rickman, Gerald Brazel, Clack Gaton, Richard Owens, Douglas Purviance, Mark Gross, Cleave Guyton Jr., Javon Jackson, Lance Bryant, Daniel Lemelle, David Fludd, Marcus Lauper, Dwayne Cook Broadnax, Preston Vismale, Miki Howard, Terence Blanchard, Bruce David Barth, Rodney Whitaker, William E. Kilson, Sonny Allen, Vanessa Benton, Cheryl Burr, Leslie Dockery, Cisco Drayton, Byron Easley, John Elejaide, Debra Elkins, Gina Ellis, John Festa, Robert H. Fowler III, Ryan Francois, Phillip Gilmore, Jauquette Green, Wendy King, Jerome Jamal Hardeman, Dawn Hampton, Monique Harcum, Raymond Harris, Delphine T. Mantz, Bernard Marsh, Greta Martin, Norma Miller, Frances Morgan, John Parks, Greg Poland, Judine Hawkins Richard, Eartha Robinson, Michelle Robinson, Traci Robinson, Ken Leigh Rogers, Eddie Sanabria, Eddie Shellman, Lynn Sterling, Keith Thomas, Debbie Williams, Charles Young, Anthony Dewitt, Cynthia Thomas, Sharon Brooks, Laurieann Gibson, El Tahara Ibrahim, Keith Lewis, Dereque Whithurs, Steve Reed, Jodie Farber, Randy Means, Columbia Dubose, Vincent D'Onofrio, Cliff Cudney, George Marshall Ruge, Bobby Seale, Al Sharpton, Christopher Plummer, Karen Allen, Peter Boyle, William Kunstler, Nelson Mandela, Ossie Davis, Matthew M. Dillon, Ralph Abernathy, Michael Albanese, Muhammad Ali, Denise S. Anderson, Ashanti, John D. Bair, Theodore Briseno, John Carlos, Tracy Chapman, Eugene 'Bull' Connor, Bill Cosby, Angela Davis, Dave Droge, James Farmer, Dan Gifford, Mark Gorham, Janet Jackson, Jesse Jackson, Joe James, Magic Johnson, Michael Jordan, Eddie Kehler, John F. Kennedy, Fares Abdel Kerim, Martin Luther King, Rodney King, Stacey Koon, Joe Louis, Malcolm X, Frankie Manning, Willie Mays, Charles Mitchell, Peter Norman, Laurence Powell, Jackie Robinson, Betty Shabazz, Tommie Smith, Billy Marshall Thompson, Irapaul Turner, Zan Turner, George Wallace, Sonya Wallace, Roy Wilkins, Timothy Wind, Andrew Young"
