,DOI,abbrev,auths,titl,yr
0,10.1093/infdis/148.4.754,Band et al (1983),"Band J.D., Chamberland M.E., Platt T., Weaver R.E., Thornsberry C., Fraser D.W.","Trends in meningococcal disease in the United States, 1975-1980",1983.0
1,10.1016/0277-9536(84)90312-5,Kaewsonthi S & Harding (1984),"Kaewsonthi S., Harding A.G.",Cost and performance of malaria surveillance in Thailand,1984.0
2,10.1016/0167-5877(85)90010-8,Zessin & Carpenter (1985),"Zessin K.-H., Carpenter T.E.",Benefit-cost analysis of an epidemiologic approach to provision of veterinary service in the Sudan,1985.0
3,10.1016/0167-5877(85)90010-8_BIB1,De Boer (1979),De Boer,Final project report on vaccination campaign,1979
4,10.1016/0167-5877(85)90010-8_BIB2,El Nasri (1966),El Nasri,Present status of diseases and disease control,1966
5,10.1016/0167-5877(85)90010-8_BIB3,Ministry of Agriculture et al (1976),"Ministry of Agriculture, Forestry and Natural Resources, Khartoum (MOA)","{'key': '10.1016/0167-5877(85)90010-8_BIB3', 'author': 'Ministry of Agriculture, Forestry and Natural Resources, Khartoum (MOA)', 'year': '1976', 'series-title': 'Sudan national livestock census and natural resources inventory'}",1976
6,10.1016/0167-5877(85)90010-8_BIB4,Piercy (1958),Piercy,Present methods of control of contagious bovine pleuropneumonia,1958
7,10.1016/0167-5877(85)90010-8_BIB5,Project Development Unit (PDU) (1978),Project Development Unit (PDU),"{'key': '10.1016/0167-5877(85)90010-8_BIB5', 'author': 'Project Development Unit (PDU)', 'year': '1978', 'series-title': 'Seasonal and longterm changes in the marketed offtake from cattle in the southern Sudan'}",1978
8,10.1016/0167-5877(85)90010-8_BIB6,Project Development Unit (PDU) (1978),Project Development Unit (PDU),"{'key': '10.1016/0167-5877(85)90010-8_BIB6', 'author': 'Project Development Unit (PDU)', 'year': '1978', 'series-title': 'Livestock husbandry and agriculture among the Dinka'}",1978
9,10.1016/0167-5877(85)90010-8_BIB7,Schwabe (1980),Schwabe,"Animal disease control. Part II. Newer methods, with possibility for their application in the Sudan",1980
10,10.1016/0167-5877(85)90010-8_BIB8_1,Schwabe (1984),Schwabe,Veterinary Medicine and Human Health,1984
11,10.1016/0167-5877(85)90010-8_BIB8_2,Schwabe (1984),Schwabe,Veterinary Medicine and Human Health,1984
12,10.1016/0167-5877(85)90010-8_BIB9,World Bank (1982),World Bank,"{'key': '10.1016/0167-5877(85)90010-8_BIB9', 'author': 'World Bank', 'first-page': '20433', 'year': '1982'}",1982
13,10.1016/0167-5877(85)90010-8_BIB10,Zessin (1982),Zessin,"{'key': '10.1016/0167-5877(85)90010-8_BIB10', 'author': 'Zessin', 'year': '1982', 'series-title': 'Livestock Disease Survey'}",1982
14,10.1016/0167-5877(85)90010-8_BIB11,Zessin (1985),Zessin,Epidemiology of contagious bovine pleuropneumonia in Bahr el-Ghazal province,1985
15,10.1016/s0749-3797(18)31265-0,Graitcer & Burton (1987),"Graitcer P.L., Burton A.H.",The epidemiology surveillance project: A computer-based system for disease surveillance,1987
16,10.1016/S0749-3797(18)31265-0_bib1,unparseable (1900),unparseable,unparseable,1900
17,10.1016/S0749-3797(18)31265-0_bib2,unparseable (1900),unparseable,unparseable,1900
18,10.1016/S0749-3797(18)31265-0_bib3,unparseable (1900),unparseable,unparseable,1900
19,10.1016/S0749-3797(18)31265-0_bib4,unknown33 (1979),unknown33,"{'key': '10.1016/S0749-3797(18)31265-0_bib4', 'year': '1979', 'series-title': 'International classification of diseases'}",1979
20,noDOI4,[No author name available] (1988),[No author name available],Progress toward achieving the national 1990 objectives for immunization.,1988
21,10.1126/science.2543079,Laumann et al (1989),"Laumann E.O., Gagnon J.H., Michaels S., Michael R.T., Coleman J.S.",Monitoring the AIDS epidemic in the United States: A network approach,1989
22,10.1016/S0399-077X(05)80167-2,Walckiers D et al (1991),"Walckiers D., Stroobant A., Vandepitte J., Verbist L., Wauters G.","Infectious diseases survey in belgium by the vigies laboratory network. Experience over 7 years, concerning Campylobacterand Yersinia enterocolitica [Surveillance des maladies infectieuses en Belgique par un réseau de laboratoires vigies. Application à Campylobacteret Yersinia enterocolitica. Expérience de sept années]",1991
23,10.1016/S0399-077X(05)80167-2_bib1,Galbraith (1980),Galbraith,Communicable disease control : the development of a laboratory associated national epidemiological service in England and Wales,1980
24,10.1016/S0399-077X(05)80167-2_bib2,Goulet (1985),Goulet,Etude du relevé des bactéries isolées dans les hémocultures et les liquides céphalorachidiens par les laboratoires d'hôpitaux publics français en 1983,1985
25,10.1016/S0399-077X(05)80167-2_bib3,Hubert (1987),Hubert,Les centres nationaux de référence,1987
26,10.1016/S0399-077X(05)80167-2_bib4,Institut d'Hygiène et d'Epidémiologie (1989),Institut d'Hygiène et d'Epidémiologie,Enquête sur le diagnostic des infections à Legionella: juin 1989,1989
27,10.1016/S0399-077X(05)80167-2_bib5,Institut d'Hygiène et d'Epidémiologie (1989),Institut d'Hygiène et d'Epidémiologie,Infections à Y. enterocolitica: 1983–1988,1989
28,10.1016/S0399-077X(05)80167-2_bib6,Institut d'Hygiène et d'Epidémiologie (1990),Institut d'Hygiène et d'Epidémiologie,Borréliose de Lyme (maladie de Lyme),1990
29,10.1016/S0399-077X(05)80167-2_bib7,Tauxe (1987),Tauxe,Yersinia enterocoliticainfections and pork : the missing link,1987
30,10.1016/S0399-077X(05)80167-2_bib8,Thacker (1983),Thacker,The surveillance of infectious diseases,1983
31,10.1016/S0399-077X(05)80167-2_bib9,Walckers (1986),Walckers,Surveillance van infectieziekten door laboratoria voor microbiologie,1986
32,10.1016/S0399-077X(05)80167-2_bib10,Walckiers (1986),Walckiers,Une nouvelle méthode de surveillance des maladies infectieuses en Belgique : le réseau “vigie” de laboratoires de microbiologie,1986
33,10.1016/S0399-077X(05)80167-2_bib11,Walckiers (1986),Walckiers,Surveillance des maladies infectieuses en Belgique par un réseau de laboratoires de microbiologie : principaux résultats de l'enregistrement 1984,1986
34,10.1016/S0399-077X(05)80167-2_bib12,Walckiers (1986),Walckiers,Surveillance du paludisme en Belgique par un réseau de laboratoires de microbiologie,1986
35,10.1016/S0399-077X(05)80167-2_bib13,Walckiers (1988),Walckiers,Aspects épidémiologiques des infections à Chlamydia trachomatisen Belgique,1988
36,10.1016/S0399-077X(05)80167-2_bib14,Walckiers (1989),Walckiers,Aspects épidémiologiques des infections à Neisseria gonorrhoeaeen Belgique,1989
37,10.1016/S0399-077X(05)80167-2_bib15,Walckiers (1989),Walckiers,Aspects épidémiologiques des infections à Campylobacteren Belgique,1989
38,10.1007/BF00145679,Pervikov (1991),Pervikov Y.,The role of the World Health Organization in the control of rickettsial diseases,1991
39,CR1, (1990),M. Carl,"{'key': 'CR1', 'doi-asserted-by': 'crossref', 'first-page': '439', 'DOI': '10.1111/j.1749-6632.1990.tb42252.x', 'volume': '590', 'author': 'M. Carl', 'year': '1990', 'unstructured': 'CarlM., TibbsC.W., DobsonM.E., ParabelloS. and DaschG.A. (1990): Diagnosis of acute typhus infection using the polymerase chain reaction - Ann. N.Y. Acad. Sci. 590: 439?444.', 'journal-title': 'Ann. N.Y. Acad. Sci.'}",1990
40,CR2, (1990),M.E. Frazier,"{'key': 'CR2', 'doi-asserted-by': 'crossref', 'first-page': '445', 'DOI': '10.1111/j.1749-6632.1990.tb42253.x', 'volume': '590', 'author': 'M.E. Frazier', 'year': '1990', 'unstructured': 'FrazierM.E., MallaviaL.P., SamnelJ.E. and BacaD. (1990): DNA probes for the identification of Coxiella burnetii strains - Ann. N.Y. Acad. Sci. 590: 445?458.', 'journal-title': 'Ann. N.Y. Acad. Sci.'}",1990
41,CR3, (1988),D. Kelly,"{'issue': '2', 'key': 'CR3', 'doi-asserted-by': 'crossref', 'first-page': '400', 'DOI': '10.4269/ajtmh.1988.38.400', 'volume': '38', 'author': 'D. Kelly', 'year': '1988', 'unstructured': 'KellyD., WongW., GanE. and LewisG.E. (1988): Comparative evaluation of the indirect immunoperoxidase test for the serodiagnosis of rickettsial disease - Amer. J. Trop. Med. Hyg.38 (2): 400?406.', 'journal-title': 'Amer. J. Trop. Med. Hyg.'}",1988
42,CR4,unparseable (1900),unparseable,unparseable,1900
43,CR5, (1990),D. Raoult,"{'key': 'CR5', 'doi-asserted-by': 'crossref', 'first-page': '51', 'DOI': '10.1111/j.1749-6632.1990.tb42206.x', 'volume': '590', 'author': 'D. Raoult', 'year': '1990', 'unstructured': 'RaoultD., LevyP., HarleJ. et al. (1990): Chronic Q fever: Diagnosis and follow-up - Ann. N.Y. Acad. Sci. 590: 51?60.', 'journal-title': 'Ann. N.Y. Acad. Sci.'}",1990
44,CR6,unparseable (1900),unparseable,unparseable,1900
45,CR7,unparseable (1900),unparseable,unparseable,1900
